date,vendor,category,price
2025-05-01,Pagliacci Pizza,dining,18.31
2025-05-02,Apple Music,subscriptions,15.99
2025-05-03,Apple Music,subscriptions,12.99
2025-05-04,Walmart,online_shopping,61.03
2025-05-04,Amazon,online_shopping,60.01
2025-05-05,QFC,groceries,87.41
2025-05-05,Lyft,rideshare,10.42
2025-05-05,Verizon,utilities,95.14
2025-05-06,Dough Zone,dining,22.91
2025-05-06,Amazon,online_shopping,37.83
2025-05-07,Pagliacci Pizza,dining,22.89
2025-05-08,Whole Foods,groceries,53.94
2025-05-09,Lyft,rideshare,25.4
2025-05-10,Walmart,online_shopping,64.83
2025-05-10,Amazon,online_shopping,70.27
2025-05-11,Milstead Coffee,dining,23.88
2025-05-12,Lyft,rideshare,16.46
2025-05-12,Spotify,subscriptions,15.99
2025-05-12,Comcast,utilities,87.13
2025-05-13,Delta Air Lines,airfare,410.0
2025-05-13,Dough Zone,dining,18.09
2025-05-14,Evergreens,dining,28.03
2025-05-14,QFC,groceries,75.82
2025-05-14,Marriott,hotels,232.5
2025-05-15,Ba Bar,dining,21.36
2025-05-16,Safeway,groceries,54.47
2025-05-17,QFC,groceries,71.51
2025-05-18,Sweetgreen,dining,16.98
2025-05-19,Lowes,home_improvement,64.97
2025-05-19,Target,online_shopping,38.67
2025-05-20,Uber,rideshare,19.96
2025-05-20,Seattle City Light,utilities,77.38
2025-05-21,Lyft,rideshare,23.96
2025-05-22,QFC,groceries,104.95
2025-05-23,Amazon,online_shopping,24.53
2025-05-24,QFC,groceries,76.8
2025-05-24,Spotify,subscriptions,9.99
2025-05-25,Amazon,online_shopping,15.76
2025-05-25,Puget Sound Energy,utilities,36.32
2025-05-26,Costco,groceries,75.57
2025-05-26,Uber,rideshare,13.28
2025-05-27,Sweetgreen,dining,21.24
2025-05-28,Uber,rideshare,15.39
2025-05-29,Lyft,rideshare,19.27
2025-05-30,Kroger,groceries,99.51
2025-05-31,Evergreens,dining,28.9
2025-05-31,Amazon,online_shopping,72.61
2025-06-01,Evergreens,dining,26.74
2025-06-02,Sweetgreen,dining,27.67
2025-06-02,Milstead Coffee,dining,27.22
2025-06-03,Amazon,online_shopping,46.52
2025-06-03,Netflix,subscriptions,12.99
2025-06-04,Lowes,home_improvement,74.25
2025-06-04,Uber,rideshare,13.38
2025-06-05,Target,online_shopping,71.84
2025-06-05,Verizon,utilities,89.54
2025-06-06,Kroger,groceries,100.5
2025-06-06,QFC,groceries,95.35
2025-06-07,QFC,groceries,74.89
2025-06-07,Target,online_shopping,25.87
2025-06-08,QFC,groceries,85.62
2025-06-09,Spotify,subscriptions,15.99
2025-06-10,Pagliacci Pizza,dining,15.64
2025-06-11,Amazon,online_shopping,19.11
2025-06-12,United Airlines,airfare,385.0
2025-06-12,Dough Zone,dining,25.45
2025-06-12,Comcast,utilities,94.24
2025-06-13,Hilton,hotels,198.6
2025-06-13,Amazon,online_shopping,76.11
2025-06-13,Apple Music,subscriptions,15.99
2025-06-14,Lyft,rideshare,21.67
2025-06-15,Netflix,subscriptions,12.99
2025-06-16,Safeway,groceries,109.31
2025-06-17,Costco,groceries,56.13
2025-06-18,Kizuki Ramen,dining,27.12
2025-06-19,Uber,rideshare,16.11
2025-06-20,Kroger,groceries,49.32
2025-06-20,Seattle City Light,utilities,72.34
2025-06-21,Cafe Umbria,dining,28.48
2025-06-22,Victrola Coffee,dining,30.79
2025-06-22,Milstead Coffee,dining,29.24
2025-06-23,Kizuki Ramen,dining,22.52
2025-06-23,Netflix,subscriptions,9.99
2025-06-24,MOD Pizza,dining,19.22
2025-06-24,T-Mobile,utilities,86.2
2025-06-25,Costco,groceries,85.48
2025-06-25,Puget Sound Energy,utilities,27.17
2025-06-26,Trader Joe's,groceries,89.59
2025-06-27,Amazon,online_shopping,58.62
2025-06-28,Target,online_shopping,84.96
2025-06-29,Target,online_shopping,63.03
2025-06-30,Walmart,online_shopping,48.53
2025-07-01,Uber,rideshare,11.74
2025-07-02,Evergreens,dining,19.16
2025-07-03,Trader Joe's,groceries,94.76
2025-07-03,Home Depot,home_improvement,77.48
2025-07-04,Whole Foods,groceries,53.71
2025-07-04,Spotify,subscriptions,15.99
2025-07-05,Trader Joe's,groceries,88.49
2025-07-05,Verizon,utilities,100.5
2025-07-06,Din Tai Fung,dining,14.64
2025-07-06,Kroger,groceries,87.56
2025-07-07,Sweetgreen,dining,25.99
2025-07-07,Target,online_shopping,38.61
2025-07-08,Whole Foods,groceries,74.15
2025-07-09,Trader Joe's,groceries,82.79
2025-07-10,Apple Music,subscriptions,10.99
2025-07-11,Din Tai Fung,dining,12.45
2025-07-12,Southwest Airlines,airfare,325.0
2025-07-12,Apple Music,subscriptions,10.99
2025-07-12,Comcast,utilities,99.69
2025-07-13,Safeway,groceries,77.96
2025-07-13,Hyatt,hotels,176.25
2025-07-14,Kizuki Ramen,dining,22.21
2025-07-14,Costco,groceries,70.93
2025-07-15,Evergreens,dining,17.43
2025-07-16,Trader Joe's,groceries,50.91
2025-07-16,Uber,rideshare,13.83
2025-07-17,Whole Foods,groceries,63.4
2025-07-18,Din Tai Fung,dining,13.18
2025-07-18,Costco,groceries,74.37
2025-07-19,Ba Bar,dining,16.47
2025-07-20,Safeway,groceries,108.62
2025-07-20,Seattle City Light,utilities,87.69
2025-07-21,Whole Foods,groceries,50.56
2025-07-22,Milstead Coffee,dining,24.26
2025-07-22,Ba Bar,dining,25.99
2025-07-23,Sweetgreen,dining,24.64
2025-07-24,Walmart,online_shopping,81.73
2025-07-25,MOD Pizza,dining,17.57
2025-07-25,Apple Music,subscriptions,12.99
2025-07-25,Puget Sound Energy,utilities,40.43
2025-07-26,Spotify,subscriptions,15.99
2025-07-27,Homegrown,dining,28.66
2025-07-28,Target,online_shopping,25.19
2025-07-29,Sweetgreen,dining,29.69
2025-07-30,Milstead Coffee,dining,13.01
2025-07-31,Costco,groceries,100.03
2025-07-31,Apple Music,subscriptions,9.99
2025-08-01,Walmart,online_shopping,74.86
2025-08-02,MOD Pizza,dining,23.74
2025-08-02,Lyft,rideshare,25.98
2025-08-03,Trader Joe's,groceries,73.67
2025-08-04,Apple Music,subscriptions,15.99
2025-08-05,Costco,groceries,85.03
2025-08-05,Target,online_shopping,58.34
2025-08-05,Verizon,utilities,72.11
2025-08-06,Cafe Umbria,dining,19.76
2025-08-06,Spotify,subscriptions,10.99
2025-08-07,Ba Bar,dining,22.5
2025-08-08,Home Depot,home_improvement,86.02
2025-08-09,Lyft,rideshare,13.26
2025-08-10,Costco,groceries,95.22
2025-08-11,Costco,groceries,66.48
2025-08-12,Japan Airlines,airfare,1095.0
2025-08-12,Home Depot,home_improvement,88.68
2025-08-12,Target,online_shopping,84.39
2025-08-12,Comcast,utilities,73.78
